Sample,Metric,Detour Difference
0,Uniformified 32-bit Hamming Metric Distance,0.184782
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.029697
0,Uniformified 32-bit Hash Metric Distance,0.475283
0,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0107265
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00701434
1,Uniformified 32-bit Hamming Metric Distance,0.532297
1,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.353765
1,Uniformified 32-bit Hash Metric Distance,0.604058
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00527062
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000192745
2,Uniformified 32-bit Hamming Metric Distance,0.507399
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.887411
2,Uniformified 32-bit Hash Metric Distance,1.08467
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.513203
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00477024
3,Uniformified 32-bit Hamming Metric Distance,0.749875
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.650185
3,Uniformified 32-bit Hash Metric Distance,0.719227
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0692693
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.000739986
4,Uniformified 32-bit Hamming Metric Distance,1.33112
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.941656
4,Uniformified 32-bit Hash Metric Distance,1.60969
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.731282
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.998877
5,Uniformified 32-bit Hamming Metric Distance,0.00459954
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00824918
5,Uniformified 32-bit Hash Metric Distance,-0.191959
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.309462
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.999792
6,Uniformified 32-bit Hamming Metric Distance,0.766573
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0384962
6,Uniformified 32-bit Hash Metric Distance,0.170298
6,Uniformified 32-bit Symmetric Wrap Metric Distance,0.867636
6,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0091796
7,Uniformified 32-bit Hamming Metric Distance,-0.10359
7,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.00324968
7,Uniformified 32-bit Hash Metric Distance,0.628139
