Sample,Metric,Match Distance
0,Uniformified 32-bit Hamming Metric Distance,0.749875
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0690931
0,Uniformified 32-bit Hash Metric Distance,0.116851
0,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0150613
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00410373
1,Uniformified 32-bit Hamming Metric Distance,0.0386961
1,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
1,Uniformified 32-bit Hash Metric Distance,0.630634
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0180169
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.99639
2,Uniformified 32-bit Hamming Metric Distance,0.354665
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
2,Uniformified 32-bit Hash Metric Distance,0.107785
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00722453
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00349383
3,Uniformified 32-bit Hamming Metric Distance,0.0179482
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.963404
3,Uniformified 32-bit Hash Metric Distance,0.54389
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00256408
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.99942
4,Uniformified 32-bit Hamming Metric Distance,0.0762924
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29697
4,Uniformified 32-bit Hash Metric Distance,0.916333
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00252331
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00327807
5,Uniformified 32-bit Hamming Metric Distance,0.354665
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
5,Uniformified 32-bit Hash Metric Distance,0.468908
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00488755
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.994147
6,Uniformified 32-bit Hamming Metric Distance,0.0762924
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
