Sample,Metric,Mean Match Distance
0,Uniformified 32-bit Hamming Metric Distance,0.163835
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.258713
0,Uniformified 32-bit Hash Metric Distance,0.35947
0,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00673078
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
1,Uniformified 32-bit Hamming Metric Distance,0.163246
1,Uniformified 32-bit Approx Dual Streak Metric Distance,0.267962
1,Uniformified 32-bit Hash Metric Distance,0.261795
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00715443
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
2,Uniformified 32-bit Hamming Metric Distance,0.172445
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.262285
2,Uniformified 32-bit Hash Metric Distance,0.116162
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00651435
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
3,Uniformified 32-bit Hamming Metric Distance,0.17264
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.286345
3,Uniformified 32-bit Hash Metric Distance,0.0707469
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00673471
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
4,Uniformified 32-bit Hamming Metric Distance,0.170616
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.262693
4,Uniformified 32-bit Hash Metric Distance,0.234241
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00656001
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
5,Uniformified 32-bit Hamming Metric Distance,0.157785
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.271287
5,Uniformified 32-bit Hash Metric Distance,0.417108
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00663598
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
6,Uniformified 32-bit Hamming Metric Distance,0.175899
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.274636
6,Uniformified 32-bit Hash Metric Distance,0.0705503
6,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00681931
6,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
7,Uniformified 32-bit Hamming Metric Distance,0.173087
7,Uniformified 32-bit Approx Dual Streak Metric Distance,0.274013
7,Uniformified 32-bit Hash Metric Distance,0.403176
7,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00656245
7,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
