Sample,Metric,Match Distance
0,Uniformified 32-bit Hamming Metric Distance,0.499488
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.999606
0,Uniformified 32-bit Hash Metric Distance,0.996171
0,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999743
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.015326
1,Uniformified 32-bit Hamming Metric Distance,0.756315
1,Uniformified 32-bit Approx Dual Streak Metric Distance,0.995869
1,Uniformified 32-bit Hash Metric Distance,0.0108018
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998458
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0158042
2,Uniformified 32-bit Hamming Metric Distance,0.918385
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.867532
2,Uniformified 32-bit Hash Metric Distance,0.000606772
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994764
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0154786
3,Uniformified 32-bit Hamming Metric Distance,0.959931
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.700476
3,Uniformified 32-bit Hash Metric Distance,0.00430138
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993248
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0120162
4,Uniformified 32-bit Hamming Metric Distance,0.993261
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.242023
4,Uniformified 32-bit Hash Metric Distance,0.00940912
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998173
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00311872
5,Uniformified 32-bit Hamming Metric Distance,0.499488
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.638597
5,Uniformified 32-bit Hash Metric Distance,0.00370805
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986424
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00271364
6,Uniformified 32-bit Hamming Metric Distance,0.635477
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.98652
6,Uniformified 32-bit Hash Metric Distance,0.00230915
6,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99439
6,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00777884
7,Uniformified 32-bit Hamming Metric Distance,0.982521
7,Uniformified 32-bit Approx Dual Streak Metric Distance,0.98652
7,Uniformified 32-bit Hash Metric Distance,0.000603371
7,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990656
7,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0072659
8,Uniformified 32-bit Hamming Metric Distance,0.756315
8,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
8,Uniformified 32-bit Hash Metric Distance,0.00160932
8,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994381
8,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00428138
9,Uniformified 32-bit Hamming Metric Distance,0.243549
9,Uniformified 32-bit Approx Dual Streak Metric Distance,0.998685
9,Uniformified 32-bit Hash Metric Distance,0.0056966
9,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993715
9,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00918365
10,Uniformified 32-bit Hamming Metric Distance,0.756315
10,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
10,Uniformified 32-bit Hash Metric Distance,0.0102133
10,Uniformified 32-bit Symmetric Wrap Metric Distance,0.989436
10,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0128292
11,Uniformified 32-bit Hamming Metric Distance,0.756315
11,Uniformified 32-bit Approx Dual Streak Metric Distance,0.758071
11,Uniformified 32-bit Hash Metric Distance,0.00524243
11,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998284
11,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00297505
