Sample,Metric,Match Distance
0,Uniformified 32-bit Hamming Metric Distance,0.490701
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.999504
0,Uniformified 32-bit Hash Metric Distance,0.756453
0,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992562
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0144755
1,Uniformified 32-bit Hamming Metric Distance,0.628637
1,Uniformified 32-bit Approx Dual Streak Metric Distance,0.930107
1,Uniformified 32-bit Hash Metric Distance,0.511837
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992344
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0152037
2,Uniformified 32-bit Hamming Metric Distance,0.959404
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
2,Uniformified 32-bit Hash Metric Distance,0.621505
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990064
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0115643
3,Uniformified 32-bit Hamming Metric Distance,0.749875
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.989251
3,Uniformified 32-bit Hash Metric Distance,0.655231
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.989927
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0104831
4,Uniformified 32-bit Hamming Metric Distance,0.749875
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.39981
4,Uniformified 32-bit Hash Metric Distance,0.702102
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.979128
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0114879
5,Uniformified 32-bit Hamming Metric Distance,0.994251
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.249325
5,Uniformified 32-bit Hash Metric Distance,0.707144
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995372
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0144128
6,Uniformified 32-bit Hamming Metric Distance,0.354665
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.943706
6,Uniformified 32-bit Hash Metric Distance,0.871136
6,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996312
6,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00761121
7,Uniformified 32-bit Hamming Metric Distance,0.916708
7,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
7,Uniformified 32-bit Hash Metric Distance,0.483658
7,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996581
7,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00674704
8,Uniformified 32-bit Hamming Metric Distance,0.959404
8,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
8,Uniformified 32-bit Hash Metric Distance,0.394325
8,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994445
8,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00205942
9,Uniformified 32-bit Hamming Metric Distance,0.916708
9,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
9,Uniformified 32-bit Hash Metric Distance,0.91681
9,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99303
9,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00860281
10,Uniformified 32-bit Hamming Metric Distance,0.983452
10,Uniformified 32-bit Approx Dual Streak Metric Distance,0.9982
10,Uniformified 32-bit Hash Metric Distance,0.931374
10,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995587
10,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00832124
11,Uniformified 32-bit Hamming Metric Distance,0.916708
11,Uniformified 32-bit Approx Dual Streak Metric Distance,0.889211
11,Uniformified 32-bit Hash Metric Distance,0.686988
11,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999345
11,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00729186
12,Uniformified 32-bit Hamming Metric Distance,0.959404
12,Uniformified 32-bit Approx Dual Streak Metric Distance,0.943706
12,Uniformified 32-bit Hash Metric Distance,0.121897
12,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993051
12,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00875171
13,Uniformified 32-bit Hamming Metric Distance,0.916708
13,Uniformified 32-bit Approx Dual Streak Metric Distance,0.9986
13,Uniformified 32-bit Hash Metric Distance,0.258446
13,Uniformified 32-bit Symmetric Wrap Metric Distance,0.989694
13,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00646238
14,Uniformified 32-bit Hamming Metric Distance,0.983452
14,Uniformified 32-bit Approx Dual Streak Metric Distance,0.588391
