Sample,Metric,Match Score
0,Uniformified 32-bit Hamming Metric Distance,0.01759
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165873
0,Uniformified 32-bit Hash Metric Distance,0.716732
0,Uniformified 32-bit Symmetric Wrap Metric Distance,0.480833
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.241139
0,32-bit Hamming Metric Distance,0.3125
0,32-bit Approx Dual Streak Metric Distance,0.188811
0,32-bit Hash Metric Distance,0.716987
0,32-bit Symmetric Wrap Metric Distance,0.480418
0,32-bit Asymmetric Wrap Metric Distance,0.240209
1,Uniformified 32-bit Hamming Metric Distance,0.499488
1,Uniformified 32-bit Approx Dual Streak Metric Distance,0.857154
1,Uniformified 32-bit Hash Metric Distance,0.36784
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.9009
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.550519
1,32-bit Hamming Metric Distance,0.5
1,32-bit Approx Dual Streak Metric Distance,0.81203
1,32-bit Hash Metric Distance,0.368706
1,32-bit Symmetric Wrap Metric Distance,0.900738
1,32-bit Asymmetric Wrap Metric Distance,0.549631
2,Uniformified 32-bit Hamming Metric Distance,0.01759
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0137005
2,Uniformified 32-bit Hash Metric Distance,0.225659
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0936809
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0469409
2,32-bit Hamming Metric Distance,0.3125
2,32-bit Approx Dual Streak Metric Distance,0.0123457
2,32-bit Hash Metric Distance,0.226507
2,32-bit Symmetric Wrap Metric Distance,0.0935061
2,32-bit Asymmetric Wrap Metric Distance,0.0467531
3,Uniformified 32-bit Hamming Metric Distance,0.635477
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.638597
3,Uniformified 32-bit Hash Metric Distance,0.88139
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.258358
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.129578
3,32-bit Hamming Metric Distance,0.53125
3,32-bit Approx Dual Streak Metric Distance,0.674157
3,32-bit Hash Metric Distance,0.881368
3,32-bit Symmetric Wrap Metric Distance,0.257899
3,32-bit Asymmetric Wrap Metric Distance,0.128949
4,Uniformified 32-bit Hamming Metric Distance,0.243549
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.361493
4,Uniformified 32-bit Hash Metric Distance,0.209871
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.390781
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.196134
4,32-bit Hamming Metric Distance,0.4375
4,32-bit Approx Dual Streak Metric Distance,0.325843
4,32-bit Hash Metric Distance,0.21062
4,32-bit Symmetric Wrap Metric Distance,0.390163
4,32-bit Asymmetric Wrap Metric Distance,0.195081
5,Uniformified 32-bit Hamming Metric Distance,0.756315
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
5,Uniformified 32-bit Hash Metric Distance,0.10479
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.522187
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.73975
5,32-bit Hamming Metric Distance,0.5625
5,32-bit Approx Dual Streak Metric Distance,0.5
5,32-bit Hash Metric Distance,0.105071
5,32-bit Symmetric Wrap Metric Distance,0.521871
5,32-bit Asymmetric Wrap Metric Distance,0.739064
6,Uniformified 32-bit Hamming Metric Distance,0.918385
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
6,Uniformified 32-bit Hash Metric Distance,0.655203
6,Uniformified 32-bit Symmetric Wrap Metric Distance,0.362159
6,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.819509
6,32-bit Hamming Metric Distance,0.625
6,32-bit Approx Dual Streak Metric Distance,0.810811
6,32-bit Hash Metric Distance,0.655881
6,32-bit Symmetric Wrap Metric Distance,0.361474
6,32-bit Asymmetric Wrap Metric Distance,0.819263
7,Uniformified 32-bit Hamming Metric Distance,0.148246
7,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
7,Uniformified 32-bit Hash Metric Distance,0.21691
7,Uniformified 32-bit Symmetric Wrap Metric Distance,0.688567
7,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.656511
7,32-bit Hamming Metric Distance,0.40625
7,32-bit Approx Dual Streak Metric Distance,0.189189
7,32-bit Hash Metric Distance,0.217666
7,32-bit Symmetric Wrap Metric Distance,0.688341
7,32-bit Asymmetric Wrap Metric Distance,0.65583
8,Uniformified 32-bit Hamming Metric Distance,0.85153
8,Uniformified 32-bit Approx Dual Streak Metric Distance,0.921841
8,Uniformified 32-bit Hash Metric Distance,0.253601
8,Uniformified 32-bit Symmetric Wrap Metric Distance,0.15731
8,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.921675
8,32-bit Hamming Metric Distance,0.59375
8,32-bit Approx Dual Streak Metric Distance,0.899598
8,32-bit Hash Metric Distance,0.254695
8,32-bit Symmetric Wrap Metric Distance,0.157034
8,32-bit Asymmetric Wrap Metric Distance,0.921483
9,Uniformified 32-bit Hamming Metric Distance,0.635477
9,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0398645
9,Uniformified 32-bit Hash Metric Distance,0.341682
9,Uniformified 32-bit Symmetric Wrap Metric Distance,0.790849
9,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.605274
9,32-bit Hamming Metric Distance,0.53125
9,32-bit Approx Dual Streak Metric Distance,0.0508475
9,32-bit Hash Metric Distance,0.342666
9,32-bit Symmetric Wrap Metric Distance,0.79081
9,32-bit Asymmetric Wrap Metric Distance,0.604595
10,Uniformified 32-bit Hamming Metric Distance,0.997737
10,Uniformified 32-bit Approx Dual Streak Metric Distance,0.930895
10,Uniformified 32-bit Hash Metric Distance,0.266969
10,Uniformified 32-bit Symmetric Wrap Metric Distance,0.441522
10,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.221541
10,32-bit Hamming Metric Distance,0.75
10,32-bit Approx Dual Streak Metric Distance,0.948375
10,32-bit Hash Metric Distance,0.268225
10,32-bit Symmetric Wrap Metric Distance,0.440942
10,32-bit Asymmetric Wrap Metric Distance,0.220471
11,Uniformified 32-bit Hamming Metric Distance,0.148246
11,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165873
11,Uniformified 32-bit Hash Metric Distance,0.245359
11,Uniformified 32-bit Symmetric Wrap Metric Distance,0.25522
11,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.87275
11,32-bit Hamming Metric Distance,0.40625
11,32-bit Approx Dual Streak Metric Distance,0.188811
11,32-bit Hash Metric Distance,0.246331
11,32-bit Symmetric Wrap Metric Distance,0.2547
11,32-bit Asymmetric Wrap Metric Distance,0.87265
12,Uniformified 32-bit Hamming Metric Distance,0.01759
12,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0441315
12,Uniformified 32-bit Hash Metric Distance,0.220771
12,Uniformified 32-bit Symmetric Wrap Metric Distance,0.126124
12,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.937196
12,32-bit Hamming Metric Distance,0.3125
12,32-bit Approx Dual Streak Metric Distance,0.0511247
12,32-bit Hash Metric Distance,0.221626
12,32-bit Symmetric Wrap Metric Distance,0.126092
12,32-bit Asymmetric Wrap Metric Distance,0.936954
13,Uniformified 32-bit Hamming Metric Distance,0.85153
13,Uniformified 32-bit Approx Dual Streak Metric Distance,0.891147
13,Uniformified 32-bit Hash Metric Distance,0.177972
13,Uniformified 32-bit Symmetric Wrap Metric Distance,0.940225
13,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.530931
13,32-bit Hamming Metric Distance,0.59375
13,32-bit Approx Dual Streak Metric Distance,0.898876
13,32-bit Hash Metric Distance,0.178552
13,32-bit Symmetric Wrap Metric Distance,0.940065
13,32-bit Asymmetric Wrap Metric Distance,0.529967
14,Uniformified 32-bit Hamming Metric Distance,0.36389
14,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
14,Uniformified 32-bit Hash Metric Distance,0.700522
14,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995758
14,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.498884
14,32-bit Hamming Metric Distance,0.46875
14,32-bit Approx Dual Streak Metric Distance,0.189189
14,32-bit Hash Metric Distance,0.700868
14,32-bit Symmetric Wrap Metric Distance,0.995883
14,32-bit Asymmetric Wrap Metric Distance,0.497941
15,Uniformified 32-bit Hamming Metric Distance,0.499488
15,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
15,Uniformified 32-bit Hash Metric Distance,0.116384
15,Uniformified 32-bit Symmetric Wrap Metric Distance,0.301575
15,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.849645
15,32-bit Hamming Metric Distance,0.5
15,32-bit Approx Dual Streak Metric Distance,0.5
15,32-bit Hash Metric Distance,0.116721
15,32-bit Symmetric Wrap Metric Distance,0.301005
15,32-bit Asymmetric Wrap Metric Distance,0.849498
16,Uniformified 32-bit Hamming Metric Distance,0.85153
16,Uniformified 32-bit Approx Dual Streak Metric Distance,0.638597
16,Uniformified 32-bit Hash Metric Distance,0.929513
16,Uniformified 32-bit Symmetric Wrap Metric Distance,0.617724
16,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.691988
16,32-bit Hamming Metric Distance,0.59375
16,32-bit Approx Dual Streak Metric Distance,0.674157
16,32-bit Hash Metric Distance,0.929259
16,32-bit Symmetric Wrap Metric Distance,0.61781
16,32-bit Asymmetric Wrap Metric Distance,0.691095
17,Uniformified 32-bit Hamming Metric Distance,0.756315
17,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
17,Uniformified 32-bit Hash Metric Distance,0.424357
17,Uniformified 32-bit Symmetric Wrap Metric Distance,0.368739
17,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.816259
17,32-bit Hamming Metric Distance,0.5625
17,32-bit Approx Dual Streak Metric Distance,0.5
17,32-bit Hash Metric Distance,0.42487
17,32-bit Symmetric Wrap Metric Distance,0.367963
17,32-bit Asymmetric Wrap Metric Distance,0.816018
18,Uniformified 32-bit Hamming Metric Distance,0.0814619
18,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
18,Uniformified 32-bit Hash Metric Distance,0.188067
18,Uniformified 32-bit Symmetric Wrap Metric Distance,0.623168
18,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.312416
18,32-bit Hamming Metric Distance,0.375
18,32-bit Approx Dual Streak Metric Distance,0.189189
18,32-bit Hash Metric Distance,0.188757
18,32-bit Symmetric Wrap Metric Distance,0.623236
18,32-bit Asymmetric Wrap Metric Distance,0.311618
19,Uniformified 32-bit Hamming Metric Distance,0.01759
19,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0554864
19,Uniformified 32-bit Hash Metric Distance,0.208761
