Sample,Metric,Match Score
0,Uniformified 32-bit Hamming Metric Distance,0.0179482
0,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165983
0,Uniformified 32-bit Hash Metric Distance,0.162756
0,Uniformified 32-bit Symmetric Wrap Metric Distance,0.481452
0,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.236736
0,32-bit Hamming Metric Distance,0.3125
0,32-bit Approx Dual Streak Metric Distance,0.188811
0,32-bit Hash Metric Distance,0.716987
0,32-bit Symmetric Wrap Metric Distance,0.480418
0,32-bit Asymmetric Wrap Metric Distance,0.240209
1,Uniformified 32-bit Hamming Metric Distance,0.490701
1,Uniformified 32-bit Approx Dual Streak Metric Distance,0.854065
1,Uniformified 32-bit Hash Metric Distance,0.338786
1,Uniformified 32-bit Symmetric Wrap Metric Distance,0.905109
1,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.543477
1,32-bit Hamming Metric Distance,0.5
1,32-bit Approx Dual Streak Metric Distance,0.81203
1,32-bit Hash Metric Distance,0.368706
1,32-bit Symmetric Wrap Metric Distance,0.900738
1,32-bit Asymmetric Wrap Metric Distance,0.549631
2,Uniformified 32-bit Hamming Metric Distance,0.0179482
2,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0128487
2,Uniformified 32-bit Hash Metric Distance,0.218909
2,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0932907
2,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.046346
2,32-bit Hamming Metric Distance,0.3125
2,32-bit Approx Dual Streak Metric Distance,0.0123457
2,32-bit Hash Metric Distance,0.226507
2,32-bit Symmetric Wrap Metric Distance,0.0935061
2,32-bit Asymmetric Wrap Metric Distance,0.0467531
3,Uniformified 32-bit Hamming Metric Distance,0.628637
3,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
3,Uniformified 32-bit Hash Metric Distance,0.497293
3,Uniformified 32-bit Symmetric Wrap Metric Distance,0.254075
3,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.126609
3,32-bit Hamming Metric Distance,0.53125
3,32-bit Approx Dual Streak Metric Distance,0.674157
3,32-bit Hash Metric Distance,0.881368
3,32-bit Symmetric Wrap Metric Distance,0.257899
3,32-bit Asymmetric Wrap Metric Distance,0.128949
4,Uniformified 32-bit Hamming Metric Distance,0.235526
4,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
4,Uniformified 32-bit Hash Metric Distance,0.156069
4,Uniformified 32-bit Symmetric Wrap Metric Distance,0.388761
4,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.191881
4,32-bit Hamming Metric Distance,0.4375
4,32-bit Approx Dual Streak Metric Distance,0.325843
4,32-bit Hash Metric Distance,0.21062
4,32-bit Symmetric Wrap Metric Distance,0.390163
4,32-bit Asymmetric Wrap Metric Distance,0.195081
5,Uniformified 32-bit Hamming Metric Distance,0.749875
5,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
5,Uniformified 32-bit Hash Metric Distance,0.857572
5,Uniformified 32-bit Symmetric Wrap Metric Distance,0.522548
5,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.7346
5,32-bit Hamming Metric Distance,0.5625
5,32-bit Approx Dual Streak Metric Distance,0.5
5,32-bit Hash Metric Distance,0.105071
5,32-bit Symmetric Wrap Metric Distance,0.521871
5,32-bit Asymmetric Wrap Metric Distance,0.739064
6,Uniformified 32-bit Hamming Metric Distance,0.916708
6,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
6,Uniformified 32-bit Hash Metric Distance,0.962658
6,Uniformified 32-bit Symmetric Wrap Metric Distance,0.361364
6,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.81637
6,32-bit Hamming Metric Distance,0.625
6,32-bit Approx Dual Streak Metric Distance,0.810811
6,32-bit Hash Metric Distance,0.655881
6,32-bit Symmetric Wrap Metric Distance,0.361474
6,32-bit Asymmetric Wrap Metric Distance,0.819263
7,Uniformified 32-bit Hamming Metric Distance,0.140786
7,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
7,Uniformified 32-bit Hash Metric Distance,0.115198
7,Uniformified 32-bit Symmetric Wrap Metric Distance,0.691831
7,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.649088
7,32-bit Hamming Metric Distance,0.40625
7,32-bit Approx Dual Streak Metric Distance,0.189189
7,32-bit Hash Metric Distance,0.217666
7,32-bit Symmetric Wrap Metric Distance,0.688341
7,32-bit Asymmetric Wrap Metric Distance,0.65583
8,Uniformified 32-bit Hamming Metric Distance,0.847265
8,Uniformified 32-bit Approx Dual Streak Metric Distance,0.921158
8,Uniformified 32-bit Hash Metric Distance,0.163475
8,Uniformified 32-bit Symmetric Wrap Metric Distance,0.155084
8,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.923486
8,32-bit Hamming Metric Distance,0.59375
8,32-bit Approx Dual Streak Metric Distance,0.899598
8,32-bit Hash Metric Distance,0.254695
8,32-bit Symmetric Wrap Metric Distance,0.157034
8,32-bit Asymmetric Wrap Metric Distance,0.921483
9,Uniformified 32-bit Hamming Metric Distance,0.628637
9,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0384962
9,Uniformified 32-bit Hash Metric Distance,0.341237
9,Uniformified 32-bit Symmetric Wrap Metric Distance,0.80032
9,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.594513
9,32-bit Hamming Metric Distance,0.53125
9,32-bit Approx Dual Streak Metric Distance,0.0508475
9,32-bit Hash Metric Distance,0.342666
9,32-bit Symmetric Wrap Metric Distance,0.79081
